requirement,existing_component,classification,gap,minimal_change,later_acceptance_test,rollback,phase0_gate
Single incident case file,"operations incidents, Chatby links, timers, decisions",EXTEND,"data is split and provenance is incomplete","define a read-only canonical case projection without copying source truth","one incident resolves to one masked case with explicit provenance and no ambiguity","drop projection/view only; retain source tables",BLOCKED
Exact order identity,"core.orders and integration identifiers",EXTEND,"identity quality is not uniformly explicit in every incident path","reuse canonical identity fields and block PARTIAL/CONFLICTING","replay proves no cross-order evidence reuse","remove new projection/index",BLOCKED
Current-order conversation evidence,"operations.chatby_conversation_links",MIGRATE,"18 links but 0 events; all current contexts stale","materialize immutable inbound events tied to order and incident","stale or prior-order reply never authorizes a proposal","disable event consumer and retain raw input",BLOCKED_CHATBY
Five separate analyses,"decision records and policy placeholders",CREATE,"no demonstrated separated analysis outputs","add typed read-only analysis result contract after identity/freshness","fixtures prove each analysis can fail independently","remove additive schema/module",BLOCKED
Decision hierarchy,"simulated decision output",EXTEND,"current engine is placeholder and policy tables are empty","implement hierarchy only after contracts and policies are versioned","policy matrix and replay fixtures pass with zero actions","feature flag off; revert additive module",BLOCKED
GLS versioned catalog,"raw issue code and partial registry",EXTEND,"216 incidents unknown; several observed codes lack evidence","version only verified mappings and preserve UNKNOWN","unknown code always blocks and raw value remains visible","activate previous catalog version",CONDITIONED
AUSENTE policy,"verified NAM mapping",EXTEND,"policy execution/proposal contract not yet implemented","encode as proposal-only rule after case contract","approved fixtures match policy with no message/action","disable policy version",BLOCKED
Missing-data/address policy,"verified DI mapping plus raw evidence",EXTEND,"address completeness fields/provenance not yet canonical","add canonical completeness evidence before proposal","incomplete or conflicting address always requests review","disable policy version",BLOCKED
Refusal policy,"raw incidents and conversation evidence",CREATE,"no trustworthy current-order reply stream","wait for canonical post-issue reply and propose only","late/stale reply never triggers proposal","disable policy version",BLOCKED_CHATBY
Agency pickup policy,"raw GLS evidence",CREATE,"no verified contract for all carrier fields","discover and document real GLS fields before mapping","contract fixture from verified source passes","keep UNKNOWN and remove mapping",BLOCKED_EXTERNAL_CONTRACT
Post-confirmation not-ordered policy,"confirmation production logic and incident data",EXTEND,"causal link and latest change-of-mind evidence not unified","reuse existing confirmation invariant; add proposal-only context","never alter existing confirmation/cancellation logic","feature flag off",BLOCKED
Timers,"operations timers",EXTEND,"16 active timers are past due while none is EXPIRED","derive effective state and later add idempotent scheduler","boundary tests around due_at pass; zero sends/actions","disable scheduler and use stored state",BLOCKED
Human feedback,"review/decision schema placeholders",CREATE,"no populated supervised feedback dataset","add append-only feedback with actor and policy version","feedback changes future proposal only after explicit promotion","disable feedback consumption",BLOCKED
Freshness,"ingestion source health and timestamps",EXTEND,"Dropea may show FRESH while Chatby is STALE","use per-source threshold and aggregate blocking rule","9/10/11-minute boundary tests and stale Chatby block","revert view/function",CONDITIONED
Idempotency,"existing delivery invariants and unique decision key",EXTEND,"proposal snapshot hash and timer idempotency are absent","add deterministic proposal/input hash","replay produces one proposal per identical snapshot","remove new constraint after data backup",BLOCKED
Operations Center incidents,"existing review panel",EXTEND,"cards/table use incompatible scopes","reuse shell; bind all UI metrics to one documented projection","card totals reconcile exactly with filtered rows","redeploy previous static assets",BLOCKED
Orders panel invariants,"existing order read models",EXTEND,"current state is presented as historical funnel","show only demonstrated milestones; unavailable remains unavailable","0 shipped/487 delivered contradiction cannot be presented as funnel","redeploy previous view",CONDITIONED
Spend control,"economics.observations",CREATE,"no canonical per-order ledger or reconciliation","define ledger only after real cost-source contracts exist","totals reconcile to source and unknown remains unknown","remove additive ledger projection",BLOCKED_EXTERNAL_CONTRACT
Read-only API,"operational API",REUSE,"new case endpoints do not exist","add GET-only endpoints after case projection","authorization and 0/0 security tests pass","remove routes",BLOCKED
Read-only MCP,"MCP server and ChatGPT connector",REPLACE,"published and visible catalogs disagree; list_* calls fail Unknown tool","pin version and republish one exact catalog; force Scan Tools/reconnect","ChatGPT successfully searches orders/incidents and opens one masked case","restore previous MCP image and connector version",CRITICAL_BLOCKER
Auditor authentication,"Keycloak and MCP Edge",EXTEND,"auth works but E2E verifier is not interruption-safe","guarantee Keycloak restart in trap and bound the test","interrupted and successful verifier both leave Keycloak healthy","restore prior script; start Keycloak",CRITICAL_BLOCKER
Deployed commit traceability,"container images",CREATE,"exact application SHA cannot be proven","embed OCI revision and expose sanitized deployment manifest","running image reports commit present in GitHub","redeploy previous digest",CRITICAL_BLOCKER
No external actions,"flags, roles and read-only services",REUSE,"none observed","keep all write/action flags false","actions_executed=0 and production_writes=0 after every phase","stop new services and restore config",PASS
Backup and rollback,"backup maintenance scripts",REUSE,"automatic scheduling not proven","reuse verified manual backup/restore gate","checksum and isolated restore succeed before each migration","restore dump only if an authorized migration requires it",PASS
Zero OpenAI API spend,"no OpenAI runtime dependency",REUSE,"none observed","do not add OpenAI API calls","cost remains 0 EUR","remove any future integration",PASS
