domain,canonical_concept,physical_source,field_or_rule,cardinality,semantic_status,external_provenance,notes
order,canonical_order_id,read_models.operations_order_records,canonical_order_id,1 per projected order,VERIFIED,Dropea V2 order identity,Internal canonical identifier; never expose customer PII
order,dropea_order_id,integration.dropea_orders,dropea_order_id,1 per store/order mirror,VERIFIED,Dropea V2 order id,Joins to read model by canonical_order_id
order,current_status,read_models.operations_order_context,status and lifecycle_status,1 current value,VERIFIED,Dropea V2 order snapshot,Current state only; not historical transition
order,created_at,integration.dropea_orders,created_at_utc,0..1,VERIFIED,Dropea V2 order snapshot,UTC
order,updated_at,integration.dropea_orders,updated_at_utc,1,VERIFIED,Dropea V2 order snapshot,Source event time distinct from ingestion time
order,confirmed_at,integration.dropea_orders,confirmed_at_utc,0..1,VERIFIED,Dropea V2 order snapshot,Present in 687 measured orders
order,processing_at,integration.dropea_orders,processing_at_utc,0..1,VERIFIED,Dropea V2 order snapshot,Milestone when supplied
order,shipped_at,NOT_MODELED,NOT_AVAILABLE,0,ABSENT,No verified field/event in active model,Must not infer from delivered or current status
order,delivered_at,integration.dropea_orders,delivered_at_utc,0..1,VERIFIED,Dropea V2 order snapshot,Present in 488 measured orders
order,cancelled_at,integration.dropea_orders,cancelled_at_utc,0..1,VERIFIED,Dropea V2 order snapshot,Milestone when supplied
order,returned_at,integration.dropea_orders,returned_at_utc,0..1,UNPOPULATED,Dropea V2 order snapshot,0 present; do not claim verified no returns
order,commercial_amount,read_models.operations_order_records,total_amount and currency,0..1,VERIFIED,Dropea V2 order snapshot,Not cost/margin/economic coverage
order,product_summary,read_models.operations_order_records,product_summary,1 masked aggregate,VERIFIED,Dropea V2 line items,No raw customer data
order,identity_status,read_models.operations_order_records,identity_status,1,VERIFIED,Canonical identity engine,EXACT/VERIFIED required for sensitive decisions
order,current_open,read_models.operations_order_context,"lifecycle_status IN PENDING|CONFIRMED|PROCESSING|SHIPPING|INCIDENCE",derived set,DEFINED_INTERNAL,Dropea current snapshot,Do not label En el aire without definition
order,history,read_models.order_state_history,observed lifecycle_status,0..N,INCOMPLETE,Projected timeline observations,Measured one row per order; not transition-complete
shipment,shipment_id,NOT_MODELED,NOT_AVAILABLE,0,ABSENT,No verified independent shipment entity,Required for real 1:N shipments
shipment,carrier,read_models.operations_order_records,carrier,0..1 embedded,PARTIAL,Dropea order snapshot,GLS in current scope
shipment,tracking_reference,read_models.operations_order_records,tracking_reference_masked,0..1 embedded,VERIFIED_MASKED,Dropea order snapshot,Masked only
shipment,shipment_status,NOT_MODELED,NOT_AVAILABLE,0,ABSENT,No independent shipment lifecycle,Do not derive historical sent KPI
incident,canonical_issue_id,read_models.operations_incident_records,canonical_issue_id,1 per projected issue,VERIFIED,Dropea V2 issue identity,Internal canonical identifier
incident,dropea_issue_id,integration.dropea_issues,dropea_issue_id,1,VERIFIED,Dropea V2 issue id,Source identifier
incident,canonical_order_id,read_models.operations_incident_records,canonical_order_id,N issues to 1 order,VERIFIED_BY_PROJECTOR,Dropea issue/order references,No observed DB foreign key
incident,current_status,read_models.operations_incident_records,status and is_active,1,VERIFIED,Dropea V2 issue snapshot,Active pending predicate is status=PENDING and is_active=true
incident,actionable,read_models.operations_incident_records,actionable,1,DEFINED_INTERNAL,Capability evaluation,Separate from pending state
incident,raw_carrier_code,read_models.operations_incident_records,initial_carrier_code,0..1,VERIFIED,Dropea carrier issue fields,GLS only
incident,normalized_type,read_models.operations_incident_records,type and mapping_status,1,PARTIAL,Carrier registry,216 UNKNOWN/UNMAPPED
incident,allowed_resolutions,read_models.operations_incident_records,allowed_resolution_options,0..N,OBSERVED,Dropea issue capability,Read only in this phase
incident,created_at,read_models.operations_incident_records,created_at,1,VERIFIED,Dropea issue snapshot,Used as reply relevance boundary
incident,source_freshness,read_models.operations_incident_records,freshness,1,VERIFIED,Dropea sync checkpoint,Does not include Chatby freshness
conversation,link_status,operations.chatby_conversation_links,conversation_status,0..1 per incident,PARTIAL,Chatby linkage evidence,FOUND is not a valid reply
conversation,conversation_freshness,operations.chatby_conversation_links,conversation_freshness,0..1,VERIFIED_AS_OBSERVED,Chatby snapshot,All 18 active contexts stale
conversation,latest_customer_activity,operations.chatby_conversation_links,last_customer_message_at,0..1,PARTIAL,Chatby snapshot,Must be after issue to be relevant
