finding_id,title,component,severity,status,evidence,root_cause,impact,proposed_correction,acceptance_test
PF0-001,La frescura Dropea puede quedar falsamente FRESH,FRESHNESS,HIGH,OPEN,"shadow-sync.mjs registra lag_seconds=0 y status=FRESH tras una lectura; no existe umbral canónico ni envejecimiento dinámico","La fuente persiste el resultado del ciclo, no calcula la edad real en el momento de consulta","Una propuesta futura podría confiar en datos antiguos aunque las escrituras siguen bloqueadas","Implementar la función canónica de frescura de Fase 1 y bloquear propuestas irreversibles con STALE/UNKNOWN","Los casos de 9/10/11 minutos, reloj futuro, nulo e inválido producen estados correctos"
PF0-002,El worker de ingesta no completa su primer ciclo,INGESTION_WORKER,HIGH,OPEN,"HTTP 503; first_cycle_complete=false; chatby_subscribers GET failed with HTTP 401","La credencial Chatby desplegada es rechazada y el ciclo agregado falla después de lecturas parciales","Chatby no se refresca y la salud conjunta no representa adecuadamente el éxito parcial de Dropea","Reparar la credencial/handshake Chatby en un checkpoint separado y modelar salud por conector","Chatby GET=200; ciclo completo; worker HEALTHY; cero mensajes y escrituras"
PF0-003,Decision Engine es un proceso marcador sin ciclo funcional,DECISION_ENGINE,WARNING,OPEN,"El contenedor responde 200 pero services/process-runner.mjs solo sirve un JSON estático","No existe ejecución de evaluación ni evidencia de último ciclo en ese servicio","No puede declararse FUNCTIONAL ni HEALTHY; solo RUNNING/NOT_IMPLEMENTED","Añadir prueba funcional de simulación o clasificar explícitamente NOT_IMPLEMENTED","Healthcheck demuestra dependencia, ciclo, latencia y salida simulada sin escrituras"
PF0-004,Scheduler es un proceso marcador sin tareas ni ciclos,SCHEDULER,WARNING,OPEN,"El contenedor responde 200 estático; no hay cron ni timers systemd y LIVE_CRON_ENABLED=false","No existe planificador funcional desplegado","Temporizadores y ciclos no tienen evidencia operativa","Implementar solo en simulación o clasificar explícitamente NOT_IMPLEMENTED","Healthcheck muestra último ciclo y tareas; cron real permanece desactivado"
PF0-005,El healthcheck de backup solo detecta volumen,BACKUP_HEALTH,WARNING,OPEN,"El inventario generado marca VOLUME_PRESENT_NOT_REVERIFIED aunque el drill aislado del 9-08 pasó","El colector no consume checksum, antigüedad ni resultado de restauración","El estado automático de backup continúa UNKNOWN pese a evidencia manual válida","Persistir resultado, checksum, RPO/RTO y último restore drill en un registro de salud","Healthcheck refleja el backup verificado y caduca si supera el umbral"
PF0-006,El despliegue VPS no expone procedencia Git verificable,DEPLOYMENT_PROVENANCE,WARNING,OPEN,"platform-runtime.json devuelve commit UNKNOWN y branch DETACHED_OR_UNKNOWN","/opt/suleia-operations no conserva metadatos de commit desplegado","No puede probarse el estado DEPLOYED de todo el árbol solo con historia local","Publicar manifest firmado por hashes y commit en cada despliegue","Inventario muestra commit, rama y hashes coincidentes con el artefacto desplegado"
PF0-007,Varias consultas MCP exceden el límite de respuesta,MCP_AUDITOR,WARNING,OPEN,"Logs sanitizados muestran RESPONSE_TOO_LARGE en catálogos y búsquedas; solicitudes paginadas posteriores sí funcionan","Los valores por defecto permiten respuestas superiores a MCP_MAX_RESPONSE_BYTES","ChatGPT puede fallar si no reduce límite o no pagina","Reducir defaults y devolver cursor/metadata de truncado sin ocultar filas","Consultas estándar y paginadas responden sin RESPONSE_TOO_LARGE"
PF0-008,El catálogo MCP enmascara nombres técnicos necesarios para auditar,POSTGRES_AUDIT,HIGH,OPEN,"La auditoría anterior no podía verificar contratos; el catálogo técnico local demuestra 21 esquemas y 2478 entradas sin valores PII","La política de redacción confunde metadatos técnicos con valores sensibles","Impide revisar relaciones, constraints e índices mediante el MCP","Separar nombres técnicos de valores PII en Fase 2","El auditor ve nombres/tipos/constraints pero nunca valores personales ni secretos"
PF0-009,No existe programación operativa del backup o ciclos,SCHEDULING,WARNING,OPEN,"crontab de root y suleiaops vacío; systemd timers de Suleia inexistentes","La ejecución depende de acciones manuales o procesos sin programación demostrada","No se puede declarar RPO continuo ni Scheduler funcional","Definir programación segura después de validar restauración y alertas","Timer documentado ejecuta pruebas en aislamiento y registra su resultado"
PF0-010,El panel no tiene healthcheck funcional de contenedor,OPERATIONS_CENTER,WARNING,OPEN,"La URL pública devuelve 200 y el API está healthy, pero review-panel no tiene healthcheck Docker","La comprobación actual separa HTML y API sin validar una lectura autenticada end-to-end en cada ciclo","El contenedor puede figurar RUNNING aunque el acceso funcional falle","Añadir un check sintético de configuración/OAuth/API GET sin PII","Estado HEALTHY solo tras HTML, OAuth y una lectura protegida correcta"
PF0-011,El registro de hallazgos no persiste gobierno completo,FINDING_GOVERNANCE,HIGH,OPEN,"La vista combina 5 reconciliaciones, 233 revisiones y 1 agregado, pero no guarda propietario, objetivo, relaciones ni cierre verificable","Los hallazgos son derivados dinámicamente y carecen de ciclo de vida gobernado","No puede auditarse resolución, aceptación de riesgo o commit asociado dentro de la plataforma","Diseñar registro inmutable manteniendo las 239 relaciones y sin ejecutar correcciones automáticas","Cada hallazgo tiene estado, dueño, fecha, evidencia, aceptación, commit y riesgo residual"
PF0-012,El inventario Supabase de Render no puede ejecutarse,SUPABASE_CONNECTOR,WARNING,OPEN,"Render no contiene SUPABASE_URL ni SUPABASE_SERVICE_ROLE_KEY; el inventario GET-only termina con credentials missing","La conexión de inventario segura no está configurada en el servicio Render actual","Supabase no puede declararse disponible o verificado desde Render","Mantener Supabase y documentar su fuente de acceso actual antes de cualquier migración","Inventario GET-only funciona o el componente queda explícitamente NOT_CONFIGURED"
