finding_id,severity,domain,observed_fact,root_cause,correction_target,acceptance_test,status
PINC0-001,CRITICAL,orders,"0 current SHIPPING versus 487 current DELIVERED/FINISHED","Current state is used as a historical funnel and no shipped milestone exists","Introduce milestone-aware read contract; expose shipped as unavailable until evidenced","Delivered never exceeds shipped when both are historical; missing shipped evidence renders NOT_AVAILABLE",OPEN
PINC0-002,HIGH,orders,"order_state_history has 961 rows for 961 orders and 0 historical shipped orders","Timeline persists one observation per order rather than complete transitions","Persist or ingest verified transitions without fabricating history","A delivered sample has traceable source events or explicitly reports history incomplete",OPEN
PINC0-003,HIGH,incidents,"Summary pending=0 while active PENDING queue=18","Summary counts actionable while queue counts status+active","Use explicit KPI names and one documented scope","Pending card and pending list use identical predicate and count",OPEN
PINC0-004,HIGH,incidents,"Awaiting customer=327 while active queue=18","Summary aggregates historical and inactive records","Scope cards to active pending or label historical scope explicitly","Every KPI publishes predicate and reconciles with filtered list",OPEN
PINC0-005,HIGH,incidents,"Blocked=216 while active queue=18","Summary aggregates all records and mixes QA with queue state","Separate active blocked from historical blocked","Active blocked count equals query over active pending set",OPEN
PINC0-006,HIGH,freshness,"Summary stale=0 while all 18 active conversations are STALE","Summary checks incident freshness only","Expose source-specific and composite freshness","A stale required source makes the dependent decision stale/blocked",OPEN
PINC0-007,HIGH,chatby,"18 conversations FOUND but 0 valid replies after issue","FOUND proves linkage only; frontend treats it as customer signal","Separate link status, inbound reply and reply validity","FOUND without post-issue inbound message displays no valid response",OPEN
PINC0-008,CRITICAL,chatby,"Worker receives HTTP 401 and is unhealthy","Stored Chatby credential is rejected by provider","Restore valid read credential/handshake outside this phase","Authenticated read is 200, worker healthy, then a new fresh snapshot exists",BLOCKED_EXTERNAL
PINC0-009,HIGH,mapping,"216 incident records are UNMAPPED and UNKNOWN","Carrier registry lacks verified mappings for observed codes","Govern mappings with evidence; keep unknown otherwise","No UNKNOWN code becomes actionable without verified mapping provenance",OPEN
PINC0-010,CRITICAL,mapping,"GLS code -30 occurs with multiple raw types","A single carrier code is context-polymorphic","Use composite evidence or leave unmapped","A mapping test proves raw code/type context; global -30 mapping is prohibited",OPEN
PINC0-011,HIGH,ui,"Interpretation confidence 1.0000 appears beside unknown mapping","UI conflates conversation interpretation confidence with mapping status","Label and render both dimensions separately","Unknown mapping can never be presented as mapping confidence 100%",OPEN
PINC0-012,HIGH,decisions,"37 decisions for 18 active incidents; all BLOCKED","Re-evaluations are stored but input/policy differences are not explainable","Persist input snapshot hash and human-readable diff","Each repeated decision explains changed input or policy; unchanged input is idempotent",OPEN
PINC0-013,MEDIUM,decisions,"No exact duplicate under current unique key","Technical key prevents exact duplicates but not semantically identical recalculation","Add semantic idempotency evidence without altering production logic","Same normalized input and policy yields one current decision",OPEN
PINC0-014,HIGH,policies,"configuration.policies and policy_versions contain 0 rows","Policy version strings are not governed by a populated registry","Populate a read-only policy registry before relying on version labels","Every decision policy_version resolves to immutable policy metadata",OPEN
PINC0-015,HIGH,timers,"16 ACTIVE timers are past due; 0 are EXPIRED","Stored status is displayed without time-effective evaluation","Calculate effective status at read time; no external action","ACTIVE + due_at<=now renders EXPIRED_EFFECTIVE and actions remain zero",OPEN
PINC0-016,MEDIUM,timers,"Latest timer query prioritizes ACTIVE regardless of due time","Lateral ordering prefers persisted ACTIVE state","Order/select by effective status and recency","Incident detail selects the correct effective timer deterministically",OPEN
PINC0-017,HIGH,economics,"Commercial amount exists for 961 orders but no canonical cost/ledger tables","total_amount is presented as economic coverage","Rename metric and design reconciled economic ledger separately","Coverage label states commercial amount only; no margin/cost claim",OPEN
PINC0-018,MEDIUM,economics,"760 generic economics observations lack panel contract","Generic metric bag is not an atomic reconciled ledger","Define metric provenance/status and order reconciliation contract","Each economic KPI traces to governed metrics and reconciliation state",OPEN
PINC0-019,HIGH,returns,"returned_at present=0 and return history=0","Absence of evidence is displayed like a verified zero","Represent unknown/incomplete return coverage explicitly","Return KPI distinguishes zero verified from source not populated",OPEN
PINC0-020,MEDIUM,timeseries,"Only 55 dates between 2026-05-10 and 2026-07-29","Daily query emits only dates with rows","Generate a calendar spine and explicit zeros","Continuous requested range contains every date with zero-filled metrics",OPEN
PINC0-021,MEDIUM,orders,"26 statuses grouped as open and labeled En el aire","UI label has no canonical business definition","Rename to open current orders or define a governed set","Tooltip and contract list exact included statuses",OPEN
PINC0-022,HIGH,shipments,"Carrier/tracking are embedded; shipment entity 1:N absent","Order model cannot represent multiple shipments/attempts cleanly","Model shipment only after verified source contract","Multiple shipments can be represented without overwriting history",OPEN
PINC0-023,HIGH,feedback,"decisions decision/review/queue tables contain 0 rows","No wired operational feedback persistence exists","Design feedback contract before exposing controls","Feedback round-trip is auditable and remains read-only until authorized",OPEN
PINC0-024,HIGH,integrity,"Dropea issue/order mirrors join by text identifiers without observed FK","Referential integrity depends on projector logic","Add reconciliation checks before considering an FK","Zero orphan active incidents and explicit reconciliation evidence",OPEN
PINC0-025,MEDIUM,freshness,"Verified Dropea threshold is 600s while new prompt states 900s","Two competing policy values exist","Resolve policy owner/version before changing threshold","One versioned threshold is used by health, panel and documentation",OPEN
PINC0-026,MEDIUM,ui,"No global persisted filters or export contract","Panel grew by local rendering without a shared query state","Define URL/query state and masked export after KPI corrections","Reload preserves filters; export contains only masked contract fields",OPEN
